namespace,extension_uid,version_label
ADODB,com.castsoftware.dotnet.adodb,1.0.0-alpha1
ADOR,com.castsoftware.dotnet.adodb,1.0.0-beta1
AdoNetCore.AseClient,com.castsoftware.dotnet.ado,1.0.0-beta1
Amazon.DynamoDBv2,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.DynamoDBv2.DataModel,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.DynamoDBv2.DocumentModel,com.castsoftware.nosqldotnet,1.8.2-funcrel
Amazon.Lambda,com.castsoftware.awsdotnet,1.0.0-alpha3
Amazon.S3,com.castsoftware.awsdotnet,1.0.4-funcrel
Amazon.SQS,com.castsoftware.awsdotnet,1.0.0-alpha3
Amazon.SimpleNotificationService,com.castsoftware.awsdotnet,1.0.0-alpha3
Apache.NMS,com.castsoftware.dotnet.nms,1.0.0-alpha1
Apache.NMS.AMQP,com.castsoftware.dotnet.nms,1.0.0-beta1
Apache.NMS.ActiveMQ,com.castsoftware.dotnet.nms,1.0.0-alpha1
Azure.Messaging.EventHubs,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.EventHubs.Consumer,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.EventHubs.Producer,com.castsoftware.azure.dotnet,1.0.0-beta2
Azure.Messaging.ServiceBus,com.castsoftware.azure.dotnet,1.0.0-alpha3
Bucket,com.castsoftware.nodejs,2.9.0-beta1
CacheManager.Core,com.castsoftware.nosqldotnet,1.8.2-funcrel
Confluent.Kafka,com.castsoftware.dotnet.kafka,1.0.1-funcrel
Cosmonaut,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Core,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.KeyValue,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Management,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.N1QL,com.castsoftware.nosqldotnet,1.8.2-funcrel
Couchbase.Search,com.castsoftware.nosqldotnet,1.8.2-funcrel
Dapper,com.castsoftware.dotnet.dapper,1.0.0-alpha1
Dapper.Contrib.Extensions,com.castsoftware.dotnet.dapper,1.0.0-beta2
Dapper.FastCrud,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FastCrud.Configuration.StatementOptions,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FastCrud.Mappings,com.castsoftware.dotnet.dapper,1.0.0-beta3
Dapper.FluentMap.Dommel.Mapping,com.castsoftware.dotnet.dapper,1.0.0-beta4
DevExpress.ExpressApp,com.castsoftware.dotnet.devexpress.xpo,1.0.0-funcrel
DevExpress.Xpo,com.castsoftware.dotnet.devexpress.xpo,1.0.0-alpha1
DevExpress.Xpo.DB,com.castsoftware.dotnet.devexpress.xpo,1.0.0-funcrel
Devart.Common,com.castsoftware.dotnet.ado,1.0.0-alpha2
